Pickup Branch,Post code,Post office name,Commune EN,Commune Khmer,Phone,Phone Number,Main Branch Phone,Branch Code,Branch EN,Branch Khmer,Category,Post office level,Type,Status,Latitude,Longitude,Search Text
BANA001,BANA001,Chamnaom,Chamnaom,Chamnaom,0716111197,0716111197,0316000285,BANP001,Banteay Meanchey,Banteay Meanchey,Agent,Agent,Authorized Dealer/ Authorized Agent,In effect,13.437565,102.934632,BANA001 | Chamnaom | Chamnaom | 0716111197 | BANP001 | Banteay Meanchey | Banteay Meanchey | Agent
BANA012,BANA012,Malai,Malai,Malai,0313339007,0313339007,0316000285,BANP001,Banteay Meanchey,Banteay Meanchey,Agent,Agent,Authorized Dealer/ Authorized Agent,In effect,13.566301,102.364078,BANA012 | Malai | Malai | 0313339007 | BANP001 | Banteay Meanchey | Banteay Meanchey | Agent
BANA013,BANA013,Thma Puok,Thma Puok,Thma Puok,0974331131,0974331131,0316000285,BANP001,Banteay Meanchey,Banteay Meanchey,Agent,Agent,Authorized Dealer/ Authorized Agent,In effect,13.941231,103.049339,BANA013 | Thma Puok | Thma Puok | 0974331131 | BANP001 | Banteay Meanchey | Banteay Meanchey | Agent
BANA014,BANA014,Koub,Koub,Koub,0973037787,0973037787,0316000285,BANP001,Banteay Meanchey,Banteay Meanchey,Agent,Agent,Authorized Dealer/ Authorized Agent,In effect,13.608353,102.764872,BANA014 | Koub | Koub | 0973037787 | BANP001 | Banteay Meanchey | Banteay Meanchey | Agent
BANA015,BANA015,Changha,Changha,Changha,068982047,068982047,0316000285,BANP001,Banteay Meanchey,Banteay Meanchey,Agent,Agent,Authorized Dealer/ Authorized Agent,In effect,13.647113,102.886313,BANA015 | Changha | Changha | 068982047 | BANP001 | Banteay Meanchey | Banteay Meanchey | Agent
BANA016,BANA016,Phnum Lieb,Phnum Lieb,Phnum Lieb,0885960140,0885960140,0316000285,BANP001,Banteay Meanchey,Banteay Meanchey,Agent,Agent,Authorized Dealer/ Authorized Agent,In effect,13.605432,103.312393,BANA016 | Phnum Lieb | Phnum Lieb | 0885960140 | BANP001 | Banteay Meanchey | Banteay Meanchey | Agent
BANA017,BANA017,Punley,Punley,Punley,0975662211,0975662211,0316000285,BANP001,Banteay Meanchey,Banteay Meanchey,Agent,Agent,Authorized Dealer/ Authorized Agent,In effect,13.76928,103.22615,BANA017 | Punley | Punley | 0975662211 | BANP001 | Banteay Meanchey | Banteay Meanchey | Agent
BANA018,BANA018,Sla Kram,Sla Kram,Sla Kram,0972078889,0972078889,0316000285,BANP001,Banteay Meanchey,Banteay Meanchey,Agent,Agent,Authorized Dealer/ Authorized Agent,In effect,13.832156,102.833294,BANA018 | Sla Kram | Sla Kram | 0972078889 | BANP001 | Banteay Meanchey | Banteay Meanchey | Agent
BANA020,BANA020,Banteay Neang,Banteay Neang,Banteay Neang,067895868,067895868,0316000285,BANP001,Banteay Meanchey,Banteay Meanchey,Agent,Agent,Authorized Dealer/ Authorized Agent,In effect,13.515097,103.017095,BANA020 | Banteay Neang | Banteay Neang | 067895868 | BANP001 | Banteay Meanchey | Banteay Meanchey | Agent
BANA021,BANA021,Lay Kimleng,Lay Kimleng,Lay Kimleng,0714497449,0714497449,0316000285,BANP001,Banteay Meanchey,Banteay Meanchey,Agent,Agent,Authorized Dealer/ Authorized Agent,In effect,13.744488,102.962583,BANA021 | Lay Kimleng | Lay Kimleng | 0714497449 | BANP001 | Banteay Meanchey | Banteay Meanchey | Agent
BANA022,BANA022,Banteay Chhmar,Banteay Chhmar,Banteay Chhmar,0888098099,0888098099,0316000285,BANP001,Banteay Meanchey,Banteay Meanchey,Agent,Agent,Authorized Dealer/ Authorized Agent,In effect,14.0704,103.1043,BANA022 | Banteay Chhmar | Banteay Chhmar | 0888098099 | BANP001 | Banteay Meanchey | Banteay Meanchey | Agent
BANP001,BANP001,Serei Saophoan,Serei Saophoan,Serei Saophoan,0316000285,0316000285,0316000285,BANP001,Banteay Meanchey,Banteay Meanchey,Post Office,Post Office,Post office,In effect,13.59572,102.97069,BANP001 | Serei Saophoan | Serei Saophoan | 0316000285 | BANP001 | Banteay Meanchey | Banteay Meanchey | Post Office
BANS001,BANS001,Ou Ambel,Ou Ambel,Ou Ambel,0976868001,0976868001,0316000285,BANP001,Banteay Meanchey,Banteay Meanchey,Showroom,Showroom,Post office,In effect,13.5852101,102.9724208,BANS001 | Ou Ambel | Ou Ambel | 0976868001 | BANP001 | Banteay Meanchey | Banteay Meanchey | Showroom
BANS002,BANS002,Paoy Paet,Paoy Paet,Paoy Paet,0976868001,0976868001,0316000285,BANP001,Banteay Meanchey,Banteay Meanchey,Showroom,Showroom,Post office,In effect,13.65887,102.554344,BANS002 | Paoy Paet | Paoy Paet | 0976868001 | BANP001 | Banteay Meanchey | Banteay Meanchey | Showroom
BANS003,BANS003,Thma Puok,Thma Puok,Thma Puok,0976868003,0976868003,0316000285,BANP001,Banteay Meanchey,Banteay Meanchey,Showroom,Showroom,Post office,In effect,13.9413014,103.049302,BANS003 | Thma Puok | Thma Puok | 0976868003 | BANP001 | Banteay Meanchey | Banteay Meanchey | Showroom
BANS004,BANS004,Srah Chik,Srah Chik,Srah Chik,0976868004,0976868004,0316000285,BANP001,Banteay Meanchey,Banteay Meanchey,Showroom,Showroom,Post office,In effect,13.74387,103.33588,BANS004 | Srah Chik | Srah Chik | 0976868004 | BANP001 | Banteay Meanchey | Banteay Meanchey | Showroom
BATA001,BATA001,Chomkar Somraong,Chomkar Somraong,Chomkar Somraong,092281838,092281838,0972277127,BATP001,Battambang,Battambang,Agent,Agent,Authorized Dealer/ Authorized Agent,In effect,13.129832,103.198146,BATA001 | Chomkar Somraong | Chomkar Somraong | 092281838 | BATP001 | Battambang | Battambang | Agent
BATA002,BATA002,Kampong Prieng,Kampong Prieng,Kampong Prieng,0313804400,0313804400,0972277127,BATP001,Battambang,Battambang,Agent,Agent,Authorized Dealer/ Authorized Agent,In effect,12.9489,103.3383,BATA002 | Kampong Prieng | Kampong Prieng | 0313804400 | BATP001 | Battambang | Battambang | Agent
BATA003,BATA003,Phnum Sampov,Phnum Sampov,Phnum Sampov,0975055550,0975055550,0972277127,BATP001,Battambang,Battambang,Agent,Agent,Authorized Dealer/ Authorized Agent,In effect,13.0296,103.1009,BATA003 | Phnum Sampov | Phnum Sampov | 0975055550 | BATP001 | Battambang | Battambang | Agent
BATA004,BATA004,Vaot Ta Muem 01,Vaot Ta Muem 01,Vaot Ta Muem 01,0889678999,0889678999,0972277127,BATP001,Battambang,Battambang,Agent,Agent,Authorized Dealer/ Authorized Agent,In effect,13.0627,103.2032,BATA004 | Vaot Ta Muem 01 | Vaot Ta Muem 01 | 0889678999 | BATP001 | Battambang | Battambang | Agent
BATA005,BATA005,Tuol Ta Ek,Tuol Ta Ek,Tuol Ta Ek,0977705535,0977705535,0972277127,BATP001,Battambang,Battambang,Agent,Agent,Authorized Dealer/ Authorized Agent,In effect,13.09573,103.190527,BATA005 | Tuol Ta Ek | Tuol Ta Ek | 0977705535 | BATP001 | Battambang | Battambang | Agent
BATA006,BATA006,Moung,Moung,Moung,0976083766,0976083766,0972277127,BATP001,Battambang,Battambang,Agent,Agent,Authorized Dealer/ Authorized Agent,In effect,12.775837,103.448387,BATA006 | Moung | Moung | 0976083766 | BATP001 | Battambang | Battambang | Agent
BATA007,BATA007,Snoeng,Snoeng,Snoeng,0888876795,0888876795,0972277127,BATP001,Battambang,Battambang,Agent,Agent,Authorized Dealer/ Authorized Agent,In effect,12.9784,103.0544,BATA007 | Snoeng | Snoeng | 0888876795 | BATP001 | Battambang | Battambang | Agent
BATA008,BATA008,Vaot Ta Muem 02,Vaot Ta Muem 02,Vaot Ta Muem 02,0712700200,0712700200,0972277127,BATP001,Battambang,Battambang,Agent,Agent,Authorized Dealer/ Authorized Agent,In effect,13.03679,103.20173,BATA008 | Vaot Ta Muem 02 | Vaot Ta Muem 02 | 0712700200 | BATP001 | Battambang | Battambang | Agent
BATA009,BATA009,REM SOCHEA,REM SOCHEA,REM SOCHEA,0889977774,0889977774,0972277127,BATP001,Battambang,Battambang,Agent,Agent,Authorized Dealer/ Authorized Agent,In effect,13.265685,102.945134,BATA009 | REM SOCHEA | REM SOCHEA | 0889977774 | BATP001 | Battambang | Battambang | Agent
BATA010,BATA010,Santepheap,Santepheap,Santepheap,0719596977,0719596977,0972277127,BATP001,Battambang,Battambang,Agent,Agent,Authorized Dealer/ Authorized Agent,In effect,13.432283,102.366176,BATA010 | Santepheap | Santepheap | 0719596977 | BATP001 | Battambang | Battambang | Agent
BATA011,BATA011,Boeng Reang,Boeng Reang,Boeng Reang,067843333,067843333,0972277127,BATP001,Battambang,Battambang,Agent,Agent,Authorized Dealer/ Authorized Agent,In effect,13.087139,102.446107,BATA011 | Boeng Reang | Boeng Reang | 067843333 | BATP001 | Battambang | Battambang | Agent
BATA012,BATA012,Bour,Bour,Bour,0884477766,0884477766,0972277127,BATP001,Battambang,Battambang,Agent,Agent,Authorized Dealer/ Authorized Agent,In effect,13.283736,102.615651,BATA012 | Bour | Bour | 0884477766 | BATP001 | Battambang | Battambang | Agent
BATA013,BATA013,Pech Chenda 01,Pech Chenda 01,Pech Chenda 01,0977878161,0977878161,0972277127,BATP001,Battambang,Battambang,Agent,Agent,Authorized Dealer/ Authorized Agent,In effect,13.222725,102.391644,BATA013 | Pech Chenda 01 | Pech Chenda 01 | 0977878161 | BATP001 | Battambang | Battambang | Agent
BATA014,BATA014,Pech Chenda 02,Pech Chenda 02,Pech Chenda 02,0977777893,0977777893,0972277127,BATP001,Battambang,Battambang,Agent,Agent,Authorized Dealer/ Authorized Agent,In effect,13.2117,102.532803,BATA014 | Pech Chenda 02 | Pech Chenda 02 | 0977777893 | BATP001 | Battambang | Battambang | Agent
BATA015,BATA015,Sdok Pravoek,Sdok Pravoek,Sdok Pravoek,0716709006,0716709006,0972277127,BATP001,Battambang,Battambang,Agent,Agent,Authorized Dealer/ Authorized Agent,In effect,12.603483,103.490935,BATA015 | Sdok Pravoek | Sdok Pravoek | 0716709006 | BATP001 | Battambang | Battambang | Agent
BATA016,BATA016,Ta Kream,Ta Kream,Ta Kream,0717111122,0717111122,0972277127,BATP001,Battambang,Battambang,Agent,Agent,Authorized Dealer/ Authorized Agent,In effect,13.090324,103.023334,BATA016 | Ta Kream | Ta Kream | 0717111122 | BATP001 | Battambang | Battambang | Agent
BATA017,BATA017,Ta Sanh,Ta Sanh,Ta Sanh,0714776666,0714776666,0972277127,BATP001,Battambang,Battambang,Agent,Agent,Authorized Dealer/ Authorized Agent,In effect,12.616636,102.858967,BATA017 | Ta Sanh | Ta Sanh | 0714776666 | BATP001 | Battambang | Battambang | Agent
BATA018,BATA018,Kampong Lpov,Kampong Lpov,Kampong Lpov,066811551,066811551,0972277127,BATP001,Battambang,Battambang,Agent,Agent,Authorized Dealer/ Authorized Agent,In effect,12.543875,102.865274,BATA018 | Kampong Lpov | Kampong Lpov | 066811551 | BATP001 | Battambang | Battambang | Agent
BATA019,BATA019,Traeng,Traeng,Traeng,0714263333,0714263333,0972277127,BATP001,Battambang,Battambang,Agent,Agent,Authorized Dealer/ Authorized Agent,In effect,12.832975,102.894727,BATA019 | Traeng | Traeng | 0714263333 | BATP001 | Battambang | Battambang | Agent
BATA021,BATA021,Preaek Chik,Preaek Chik,Preaek Chik,0719462246,0719462246,0972277127,BATP001,Battambang,Battambang,Agent,Agent,Authorized Dealer/ Authorized Agent,In effect,12.651708,103.396619,BATA021 | Preaek Chik | Preaek Chik | 0719462246 | BATP001 | Battambang | Battambang | Agent
BATA022,BATA022,Bavel,Bavel,Bavel,060244232,060244232,0972277127,BATP001,Battambang,Battambang,Agent,Agent,Authorized Dealer/ Authorized Agent,In effect,13.256093,102.875914,BATA022 | Bavel | Bavel | 060244232 | BATP001 | Battambang | Battambang | Agent
BATA023,BATA023,Chrey,Chrey,Chrey,068444789,068444789,0972277127,BATP001,Battambang,Battambang,Agent,Agent,Authorized Dealer/ Authorized Agent,In effect,13.112873,103.136953,BATA023 | Chrey | Chrey | 068444789 | BATP001 | Battambang | Battambang | Agent
BATA024,BATA024,Boeng Pring,Boeng Pring,Boeng Pring,0719066617,0719066617,0972277127,BATP001,Battambang,Battambang,Agent,Agent,Authorized Dealer/ Authorized Agent,In effect,13.366959,103.034112,BATA024 | Boeng Pring | Boeng Pring | 0719066617 | BATP001 | Battambang | Battambang | Agent
BATA025,BATA025,Ta Pung,Ta Pung,Ta Pung,066864422,066864422,0972277127,BATP001,Battambang,Battambang,Agent,Agent,Authorized Dealer/ Authorized Agent,In effect,13.264179,103.089398,BATA025 | Ta Pung | Ta Pung | 066864422 | BATP001 | Battambang | Battambang | Agent
BATA026,BATA026,Svay Por,Svay Por,Svay Por,0886888897,0886888897,0972277127,BATP001,Battambang,Battambang,Agent,Agent,Authorized Dealer/ Authorized Agent,In effect,13.0859,103.1988,BATA026 | Svay Por | Svay Por | 0886888897 | BATP001 | Battambang | Battambang | Agent
BATA027,BATA027,Ou Ta Ki,Ou Ta Ki,Ou Ta Ki,0318424242,0318424242,0972277127,BATP001,Battambang,Battambang,Agent,Agent,Authorized Dealer/ Authorized Agent,In effect,13.167237,103.112915,BATA027 | Ou Ta Ki | Ou Ta Ki | 0318424242 | BATP001 | Battambang | Battambang | Agent
BATA028,BATA028,Ta Sda,Ta Sda,Ta Sda,0314157888,0314157888,0972277127,BATP001,Battambang,Battambang,Agent,Agent,Authorized Dealer/ Authorized Agent,In effect,13.404488,102.455575,BATA028 | Ta Sda | Ta Sda | 0314157888 | BATP001 | Battambang | Battambang | Agent
BATA029,BATA029,Thipakdei,Thipakdei,Thipakdei,0979928802,0979928802,0972277127,BATP001,Battambang,Battambang,Agent,Agent,Authorized Dealer/ Authorized Agent,In effect,12.856523,103.26872,BATA029 | Thipakdei | Thipakdei | 0979928802 | BATP001 | Battambang | Battambang | Agent
BATA030,BATA030,Prey Svay,Prey Svay,Prey Svay,0319992324,0319992324,0972277127,BATP001,Battambang,Battambang,Agent,Agent,Authorized Dealer/ Authorized Agent,In effect,12.713477,103.544657,BATA030 | Prey Svay | Prey Svay | 0319992324 | BATP001 | Battambang | Battambang | Agent
BATA032,BATA032,Sdau,Sdau,Sdau,0886384445,0886384445,0972277127,BATP001,Battambang,Battambang,Agent,Agent,Authorized Dealer/ Authorized Agent,In effect,12.891503,102.973863,BATA032 | Sdau | Sdau | 0886384445 | BATP001 | Battambang | Battambang | Agent
BATA033,BATA033,Ampil Pram Daeum,Ampil Pram Daeum,Ampil Pram Daeum,0886666033,0886666033,0972277127,BATP001,Battambang,Battambang,Agent,Agent,Authorized Dealer/ Authorized Agent,In effect,13.260059,102.767866,BATA033 | Ampil Pram Daeum | Ampil Pram Daeum | 0886666033 | BATP001 | Battambang | Battambang | Agent
BATA034,BATA034,Ou Char,Ou Char,Ou Char,090471804,090471804,0972277127,BATP001,Battambang,Battambang,Agent,Agent,Authorized Dealer/ Authorized Agent,In effect,13.1076,103.1755,BATA034 | Ou Char | Ou Char | 090471804 | BATP001 | Battambang | Battambang | Agent
BATA035,BATA035,Anlung Vil,Anlung Vil,Anlung Vil,0718525353,0718525353,0972277127,BATP001,Battambang,Battambang,Agent,Agent,Authorized Dealer/ Authorized Agent,In effect,13.0624,103.2563,BATA035 | Anlung Vil | Anlung Vil | 0718525353 | BATP001 | Battambang | Battambang | Agent
BATA036,BATA036,Vaot Ta Muem,Vaot Ta Muem,Vaot Ta Muem,0889595557,0889595557,0972277127,BATP001,Battambang,Battambang,Agent,Agent,Authorized Dealer/ Authorized Agent,In effect,13.01234,103.187065,BATA036 | Vaot Ta Muem | Vaot Ta Muem | 0889595557 | BATP001 | Battambang | Battambang | Agent
BATA037,BATA037,Peam Aek,Peam Aek,Peam Aek,0973366686,0973366686,0972277127,BATP001,Battambang,Battambang,Agent,Agent,Authorized Dealer/ Authorized Agent,In effect,13.161,103.2086,BATA037 | Peam Aek | Peam Aek | 0973366686 | BATP001 | Battambang | Battambang | Agent
BATA038,BATA038,Prey Khpos,Prey Khpos,Prey Khpos,0979676228,0979676228,0972277127,BATP001,Battambang,Battambang,Agent,Agent,Authorized Dealer/ Authorized Agent,In effect,13.347834,102.905611,BATA038 | Prey Khpos | Prey Khpos | 0979676228 | BATP001 | Battambang | Battambang | Agent
BATA039,BATA039,Mukh Rea,Mukh Rea,Mukh Rea,0979655007,0979655007,0972277127,BATP001,Battambang,Battambang,Agent,Agent,Authorized Dealer/ Authorized Agent,In effect,12.77559,103.448243,BATA039 | Mukh Rea | Mukh Rea | 0979655007 | BATP001 | Battambang | Battambang | Agent
BATA040,BATA040,Prek Preah Sdach,Prek Preah Sdach,Prek Preah Sdach,0718378888,0718378888,0972277127,BATP001,Battambang,Battambang,Agent,Agent,Authorized Dealer/ Authorized Agent,In effect,13.0887,103.2127,BATA040 | Prek Preah Sdach | Prek Preah Sdach | 0718378888 | BATP001 | Battambang | Battambang | Agent
BATA041,BATA041,Moung Ruessei,Moung Ruessei,Moung Ruessei,0965244331,0965244331,0972277127,BATP001,Battambang,Battambang,Agent,Agent,Authorized Dealer/ Authorized Agent,In effect,12.903065,103.3680416,BATA041 | Moung Ruessei | Moung Ruessei | 0965244331 | BATP001 | Battambang | Battambang | Agent
BATA042,BATA042,Sreng Koemlong,Sreng Koemlong,Sreng Koemlong,0979542413,0979542413,0972277127,BATP001,Battambang,Battambang,Agent,Agent,Authorized Dealer/ Authorized Agent,In effect,12.69947,103.57496,BATA042 | Sreng Koemlong | Sreng Koemlong | 0979542413 | BATP001 | Battambang | Battambang | Agent
BATP001,BATP001,Battambang,Battambang,Battambang,0972277127,0972277127,0972277127,BATP001,Battambang,Battambang,Post Office,Post Office,Post office,In effect,13.106159,103.195737,BATP001 | Battambang | Battambang | 0972277127 | BATP001 | Battambang | Battambang | Post Office
BATS001,BATS001,Tuol Ta Ek,Tuol Ta Ek,Tuol Ta Ek,0972282257,0972282257,0972277127,BATP001,Battambang,Battambang,Showroom,Showroom,Post office,Out of effect,13.095671,103.190739,BATS001 | Tuol Ta Ek | Tuol Ta Ek | 0972282257 | BATP001 | Battambang | Battambang | Showroom
BATS002,BATS002,Ta Pung,Ta Pung,Ta Pung,0888894466,0888894466,0972277127,BATP001,Battambang,Battambang,Showroom,Showroom,Post office,Out of effect,13.269928,103.089933,BATS002 | Ta Pung | Ta Pung | 0888894466 | BATP001 | Battambang | Battambang | Showroom
BATS003,BATS003,Boeng Reang,Boeng Reang,Boeng Reang,0972277127,0972277127,0972277127,BATP001,Battambang,Battambang,Showroom,Showroom,Post office,Out of effect,13.088761,102.445678,BATS003 | Boeng Reang | Boeng Reang | 0972277127 | BATP001 | Battambang | Battambang | Showroom
BATS004,BATS004,Santepheap,Santepheap,Santepheap,0972277127,0972277127,0972277127,BATP001,Battambang,Battambang,Showroom,Showroom,Post office,Out of effect,13.431886,102.376649,BATS004 | Santepheap | Santepheap | 0972277127 | BATP001 | Battambang | Battambang | Showroom
BATS005,BATS005,Sdau,Sdau,Sdau,068444789,068444789,0972277127,BATP001,Battambang,Battambang,Showroom,Showroom,Post office,Out of effect,12.892662,102.97397,BATS005 | Sdau | Sdau | 068444789 | BATP001 | Battambang | Battambang | Showroom
BATS006,BATS006,Bavel,Bavel,Bavel,090929939,090929939,0972277127,BATP001,Battambang,Battambang,Showroom,Showroom,Post office,Out of effect,13.25407,102.873046,BATS006 | Bavel | Bavel | 090929939 | BATP001 | Battambang | Battambang | Showroom
BATS007,BATS007,Moung,Moung,Moung,0885676516,0885676516,0972277127,BATP001,Battambang,Battambang,Showroom,Showroom,Post office,In effect,12.775514,103.447784,BATS007 | Moung | Moung | 0885676516 | BATP001 | Battambang | Battambang | Showroom
BATS008,BATS008,Sdau,Sdau,Sdau,0972277127,0972277127,0972277127,BATP001,Battambang,Battambang,Showroom,Showroom,Post office,Out of effect,12.5333,102.5826,BATS008 | Sdau | Sdau | 0972277127 | BATP001 | Battambang | Battambang | Showroom
CHAA001,CHAA001,Peam Prathnuoh,Peam Prathnuoh,Peam Prathnuoh,0888664145,0888664145,067981954,CHAP001,Kampong Cham,Kampong Cham,Agent,Agent,Authorized Dealer/ Authorized Agent,In effect,11.892662,105.428499,CHAA001 | Peam Prathnuoh | Peam Prathnuoh | 0888664145 | CHAP001 | Kampong Cham | Kampong Cham | Agent
CHAA002,CHAA002,Chrey Vien,Chrey Vien,Chrey Vien,067665432,067665432,067981954,CHAP001,Kampong Cham,Kampong Cham,Agent,Agent,Authorized Dealer/ Authorized Agent,In effect,12.058398,105.257688,CHAA002 | Chrey Vien | Chrey Vien | 067665432 | CHAP001 | Kampong Cham | Kampong Cham | Agent
CHAA003,CHAA003,Kor,Kor,Kor,066666642,066666642,067981954,CHAP001,Kampong Cham,Kampong Cham,Agent,Agent,Authorized Dealer/ Authorized Agent,In effect,12.11317,105.21706,CHAA003 | Kor | Kor | 066666642 | CHAP001 | Kampong Cham | Kampong Cham | Agent
CHAA004,CHAA004,Sandaek,Sandaek,Sandaek,0886341117,0886341117,067981954,CHAP001,Kampong Cham,Kampong Cham,Agent,Agent,Authorized Dealer/ Authorized Agent,In effect,12.123065,104.970836,CHAA004 | Sandaek | Sandaek | 0886341117 | CHAP001 | Kampong Cham | Kampong Cham | Agent
CHAA005,CHAA005,Me Sar Chrey,Me Sar Chrey,Me Sar Chrey,060373336,060373336,067981954,CHAP001,Kampong Cham,Kampong Cham,Agent,Agent,Authorized Dealer/ Authorized Agent,In effect,12.29968,105.419272,CHAA005 | Me Sar Chrey | Me Sar Chrey | 060373336 | CHAP001 | Kampong Cham | Kampong Cham | Agent
CHAA006,CHAA006,Peam Chi Kang,Peam Chi Kang,Peam Chi Kang,0979008412,0979008412,067981954,CHAP001,Kampong Cham,Kampong Cham,Agent,Agent,Authorized Dealer/ Authorized Agent,In effect,11.946622,105.247515,CHAA006 | Peam Chi Kang | Peam Chi Kang | 0979008412 | CHAP001 | Kampong Cham | Kampong Cham | Agent
CHAA007,CHAA007,Ta Prok,Ta Prok,Ta Prok,0714862222,0714862222,067981954,CHAP001,Kampong Cham,Kampong Cham,Agent,Agent,Authorized Dealer/ Authorized Agent,In effect,12.376818,105.222342,CHAA007 | Ta Prok | Ta Prok | 0714862222 | CHAP001 | Kampong Cham | Kampong Cham | Agent
CHAA008,CHAA008,Thma Pun,Thma Pun,Thma Pun,0313100028,0313100028,067981954,CHAP001,Kampong Cham,Kampong Cham,Agent,Agent,Authorized Dealer/ Authorized Agent,In effect,12.162685,105.246162,CHAA008 | Thma Pun | Thma Pun | 0313100028 | CHAP001 | Kampong Cham | Kampong Cham | Agent
CHAA009,CHAA009,Tang Krang,Tang Krang,Tang Krang,0716601215,0716601215,067981954,CHAP001,Kampong Cham,Kampong Cham,Agent,Agent,Authorized Dealer/ Authorized Agent,In effect,11.885387,104.935627,CHAA009 | Tang Krang | Tang Krang | 0716601215 | CHAP001 | Kampong Cham | Kampong Cham | Agent
CHAA010,CHAA010,Bos Khnor,Bos Khnor,Bos Khnor,0717774841,0717774841,067981954,CHAP001,Kampong Cham,Kampong Cham,Agent,Agent,Authorized Dealer/ Authorized Agent,In effect,12.180892,105.322863,CHAA010 | Bos Khnor | Bos Khnor | 0717774841 | CHAP001 | Kampong Cham | Kampong Cham | Agent
CHAA011,CHAA011,Lvea,Lvea,Lvea,0319621863,0319621863,067981954,CHAP001,Kampong Cham,Kampong Cham,Agent,Agent,Authorized Dealer/ Authorized Agent,In effect,12.057856,105.181435,CHAA011 | Lvea | Lvea | 0319621863 | CHAP001 | Kampong Cham | Kampong Cham | Agent
